type,model,serial_number,trans_interval,protocol,acoustic_tag_id,temp_id,depth_id,sensor,freq_khz,depth_min_m,depth_max_m,m_pr_step,temp_min_c,temp_max_c,deg_pr_step,slope,intercept,est_tag_life_days,tag_turned_on_date,comments
T,DT-HP16,02LO,90-150,Ops,997,997,,Temp,69,0,290,,-10,50,,-100,0.1,2487,23/02/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LP,90-150,Ops,998,,998,Depth,69,0,290,,-10,50,,-10,0.1,2487,23/02/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LP,90-150,Ops,999,999,,Temp,69,0,290,,-10,50,,-100,0.1,2487,23/02/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LQ,90-150,Ops,1000,,1000,Depth,69,0,290,,-10,50,,-10,0.1,2487,23/02/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LQ,90-150,Ops,1001,1001,,Temp,69,0,290,,-10,50,,-100,0.1,2487,23/02/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LR,90-150,Ops,1002,,1002,Depth,69,0,290,,-10,50,,-10,0.1,2487,28/02/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LR,90-150,Ops,1003,1003,,Temp,69,0,290,,-10,50,,-100,0.1,2487,28/02/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LS,90-150,Ops,1004,,1004,Depth,69,0,290,,-10,50,,-10,0.1,2487,12/03/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LS,90-150,Ops,1005,1005,,Temp,69,0,290,,-10,50,,-100,0.1,2487,12/03/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LT,90-150,Ops,1006,,1006,Depth,69,0,290,,-10,50,,-10,0.1,2487,12/03/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LT,90-150,Ops,1007,1007,,Temp,69,0,290,,-10,50,,-100,0.1,2487,12/03/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LU,90-150,Ops,1008,,1008,Depth,69,0,290,,-10,50,,-10,0.1,2487,02/04/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LU,90-150,Ops,1009,1009,,Temp,69,0,290,,-10,50,,-100,0.1,2487,02/04/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LV,90-150,Ops,1010,,1010,Depth,69,0,290,,-10,50,,-10,0.1,2487,02/04/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LV,90-150,Ops,1011,1011,,Temp,69,0,290,,-10,50,,-100,0.1,2487,02/04/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LW,90-150,Ops,1012,,1012,Depth,69,0,290,,-10,50,,-10,0.1,2487,23/04/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LW,90-150,Ops,1013,1013,,Temp,69,0,290,,-10,50,,-100,0.1,2487,23/04/2023,"est tag life based on tagging date, never updated"
T,DT-HP16,02LX,90-150,Ops,1014,,1014,Depth,69,0,290,,-10,50,,-10,0.1,2487,,"Not in shark_tagging, never deployed?"
T,DT-HP16,02LX,90-150,Ops,1015,1015,,Temp,69,0,290,,-10,50,,-100,0.1,2487,,"Not in shark_tagging, never deployed?"
T,DT-HP16,049N,90-150,Ops,1520,,1520,Depth,69,0,290,,-10,50,,-10,0.1,2487,11/12/2023,Tag start-up on 11/12/2023
